FECHA DE EMISION,PAGADOR,Nº DE CUIT,Razón Social,Establecimiento,Total Presentado,Total Descuento,Saldo,IVA 21%,"IVA 10,5%",Retención IB,Percepción AFIP,Archivo PDF
31/03/2025,007 BANCO GALICIA,30-50000173-5,ARAUKEN SA,NARDA COMEDOR,"12.649.481,18","588.495,12",12060986.06,47755.86,No encontrado,307472.01,5856.85,comprobante-MEN-COM00690515220071272025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PARMENTTIER,KONA,"44.128.583,34","2.664.893,00",41463690.34,160519.1,No encontrado,1717326.84,22669.44,comprobante-MEN-COM00727818420073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PARMENTTIER,KONA,"62.500,00","3.806,80",58693.2,236.25,No encontrado,2445.55,No encontrado,comprobante-MEN-COM00727818590073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,PARMENTTIER,KONA,"13.907.239,98","866.186,55",13041053.43,55255.09,No encontrado,540157.81,7653.39,comprobante-MEN-COM00727818830073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,GOURMAND SA,ALMA CERRITO,"16.281.890,00","659.798,00",15622092.0,44081.74,No encontrado,400526.86,5275.32,comprobante-MEN-COM00766888030073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,GOURMAND SA,ALMA CERRITO,"153.600,00","5.652,06",147947.94,322.56,No encontrado,3793.5,No encontrado,comprobante-MEN-COM00766888110073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,GOURMAND SA,ALMA CERRITO,"841.600,80","46.048,76",795552.04,4418.34,No encontrado,20398.67,191.73,comprobante-MEN-COM00766888450073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,GOURMAND SA,ALMA CERRITO,"8.083.970,00","358.449,34",7725520.66,27485.05,No encontrado,197926.48,2155.01,comprobante-MEN-COM00766888520073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,NUBE CAFE,"2.225.200,00","161.151,94",2064048.06,18042.2,No encontrado,54682.81,2511.53,comprobante-MEN-COM00776349960073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,NUBE CAFE,"88.900,00","4.844,47",84055.53,466.72,No encontrado,2155.25,No encontrado,comprobante-MEN-COM00776350350073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,NUBE CAFE,"552.800,00","62.318,16",490481.84,8285.07,No encontrado,13529.35,1050.84,comprobante-MEN-COM00776350430073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,LAKY CHICKEN,"1.275.500,00","113.286,55",1162213.45,13902.12,No encontrado,31299.3,1884.55,comprobante-MEN-COM00776357790073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,LAKY CHICKEN,"271.800,00","16.575,08",255224.92,1697.96,No encontrado,6671.48,120.09,comprobante-MEN-COM00776358290073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,WILLIAMSBURG POLO,"1.000.500,00","92.884,41",907615.59,11600.44,No encontrado,24574.58,1469.19,comprobante-MEN-COM00776361570073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,WILLIAMSBURG POLO,"384.000,00","25.139,64",358860.36,2682.12,No encontrado,9418.15,267.33,comprobante-MEN-COM00776361990073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,LA LECHERIA,"491.500,00","35.405,00",456095.0,3989.18,No encontrado,12067.73,351.99,comprobante-MEN-COM00776370640073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,LA LECHERIA,"64.500,00","2.649,48",61850.52,184.59,No encontrado,1585.89,No encontrado,comprobante-MEN-COM00776371140073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,PIZZA MADRE,"768.000,00","42.315,20",725684.8,3998.22,No encontrado,18888.67,389.16,comprobante-MEN-COM00776377670073032025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,CAMPOLUOGO SA,PIZZA MADRE,"23.000,00","1.253,35",21746.65,120.75,No encontrado,557.6,No encontrado,comprobante-MEN-COM00776378090073032025-03-31.pdf
